EventID,BeachName,LocationID,Date,SumOfCreelNPeople,SumOfCreelNDiggers,SumOfCreelNClams,SumOfCreelNLanterns,AvgOfCreelNCars
1,"Twin Harbors","41300","2008-04-19 00:00:00",31,29,257,,
1,"Twin Harbors","41400","2008-04-19 00:00:00",21,20,288,,
1,"Twin Harbors","42500","2008-04-19 00:00:00",7,7,38,,
1,"Twin Harbors","42600","2008-04-19 00:00:00",23,23,151,,
2,"Copalis","30","2012-01-20 00:00:00",417,5,47,,30
2,"Copalis","31005","2012-01-20 00:00:00",4,3,0,,
2,"Copalis","32007","2012-01-20 00:00:00",9,9,35,,
2,"Copalis","32009","2012-01-20 00:00:00",1,1,15,,
2,"Copalis","33012","2012-01-20 00:00:00",1,1,15,,
2,"Copalis","41400","2012-01-20 00:00:00",4,4,60,,
3,"Mocrocks","41200","2012-01-20 00:00:00",3,3,45,,
3,"Mocrocks","41300","2012-01-20 00:00:00",1,1,15,,
3,"Mocrocks","41400","2012-01-20 00:00:00",1,1,15,,
3,"Mocrocks","42500","2012-01-20 00:00:00",3,3,45,,
3,"Mocrocks","42600","2012-01-20 00:00:00",1,1,0,,
4,"Twin Harbors","21200","2012-01-20 00:00:00",11,10,35,,
4,"Twin Harbors","22307","2012-01-20 00:00:00",18,18,178,,
4,"Twin Harbors","22309","2012-01-20 00:00:00",7,5,48,,
4,"Twin Harbors","41100","2012-01-20 00:00:00",2,2,0,,
5,"Copalis","31005","2012-01-21 00:00:00",17,17,185,,
5,"Copalis","32007","2012-01-21 00:00:00",11,11,135,,
5,"Copalis","32009","2012-01-21 00:00:00",11,11,140,,
5,"Copalis","33012","2012-01-21 00:00:00",10,10,147,,
6,"Longbeach","12400","2012-01-20 00:00:00",11,8,54,,
6,"Longbeach","12500","2012-01-20 00:00:00",24,24,143,,
6,"Longbeach","12600","2012-01-20 00:00:00",10,9,97,,
7,"Mocrocks","41200","2007-10-26 00:00:00",7,7,105,,
7,"Mocrocks","41300","2007-10-26 00:00:00",8,8,120,,
7,"Mocrocks","41400","2007-10-26 00:00:00",11,11,165,,
7,"Mocrocks","42500","2007-10-26 00:00:00",4,4,60,,
7,"Mocrocks","42600","2007-10-26 00:00:00",38,32,467,,
8,"Mocrocks","41100","2007-10-27 00:00:00",4,4,60,,
8,"Mocrocks","41200","2007-10-27 00:00:00",6,6,90,,
8,"Mocrocks","41300","2007-10-27 00:00:00",23,23,345,,
8,"Mocrocks","41400","2007-10-27 00:00:00",23,23,345,,
8,"Mocrocks","42500","2007-10-27 00:00:00",15,14,210,,
8,"Mocrocks","42600","2007-10-27 00:00:00",31,28,420,,
9,"Mocrocks","41100","2007-11-23 00:00:00",2,2,30,,
9,"Mocrocks","41200","2007-11-23 00:00:00",5,5,75,,
9,"Mocrocks","41300","2007-11-23 00:00:00",11,11,165,,
9,"Mocrocks","41400","2007-11-23 00:00:00",9,9,135,,
9,"Mocrocks","42500","2007-11-23 00:00:00",4,4,60,,
9,"Mocrocks","42600","2007-11-23 00:00:00",14,14,210,,
10,"Mocrocks","41100","2007-11-24 00:00:00",8,5,74,,
10,"Mocrocks","41200","2007-11-24 00:00:00",9,9,134,,
10,"Mocrocks","41300","2007-11-24 00:00:00",39,39,585,,
10,"Mocrocks","41400","2007-11-24 00:00:00",41,39,578,,
10,"Mocrocks","42600","2007-11-24 00:00:00",13,12,180,,
11,"Mocrocks","41300","2007-12-21 00:00:00",7,6,90,,
11,"Mocrocks","41400","2007-12-21 00:00:00",7,7,106,,
11,"Mocrocks","42500","2007-12-21 00:00:00",4,4,61,,
11,"Mocrocks","42600","2007-12-21 00:00:00",3,3,62,,
12,"Mocrocks","41100","2007-12-22 00:00:00",1,1,14,,
12,"Mocrocks","41300","2007-12-22 00:00:00",4,4,60,,
12,"Mocrocks","41400","2007-12-22 00:00:00",9,9,136,,
12,"Mocrocks","42500","2007-12-22 00:00:00",11,11,163,,
12,"Mocrocks","42600","2007-12-22 00:00:00",8,7,65,,
13,"Mocrocks","41100","2008-04-20 00:00:00",6,6,90,,
13,"Mocrocks","41200","2008-04-20 00:00:00",27,27,405,,
13,"Mocrocks","41300","2008-04-20 00:00:00",35,34,502,,
13,"Mocrocks","41400","2008-04-20 00:00:00",34,34,495,,
13,"Mocrocks","42500","2008-04-20 00:00:00",15,15,225,,
13,"Mocrocks","42600","2008-04-20 00:00:00",3,3,45,,
14,"Mocrocks","41200","2008-05-04 00:00:00",2,2,30,,
14,"Mocrocks","41300","2008-05-04 00:00:00",6,6,90,,
14,"Mocrocks","41400","2008-05-04 00:00:00",8,8,120,,
14,"Mocrocks","42500","2008-05-04 00:00:00",8,7,105,,
14,"Mocrocks","42600","2008-05-04 00:00:00",18,18,270,,
15,"Mocrocks","41100","2008-05-05 00:00:00",4,4,60,,
15,"Mocrocks","41300","2008-05-05 00:00:00",9,9,135,,
15,"Mocrocks","41400","2008-05-05 00:00:00",9,9,135,,
15,"Mocrocks","42500","2008-05-05 00:00:00",21,21,315,,
15,"Mocrocks","42600","2008-05-05 00:00:00",20,20,300,,
16,"Mocrocks","41100","2008-05-24 00:00:00",17,17,255,,
16,"Mocrocks","41200","2008-05-24 00:00:00",11,11,165,,
16,"Mocrocks","41300","2008-05-24 00:00:00",25,25,375,,
