EventID,EstCorEffort,TotHarvest,beach,Date,CorrectionFactor,CPUE,SumPeople,n_interviews,WastageRate,Wastage,PctInterviewed,year,month,season_year,season_label
1,2733.300550747443,25395.476003147127,Twin Harbors,2008-04-19,0.62,9.291139240506329,82,33,NA,NA,0.030000359813184992,2008,4,2007,2007-08
2,594.4393767341958,4445.372730360073,Copalis,2012-01-20,0.41330004,7.478260869565218,22,11,0.04,177.81490921440292,0.03700966130619796,2012,1,2011,2011-12
3,415.20425536285467,5536.056738171395,Mocrocks,2012-01-20,0.50336671,13.333333333333334,9,7,NA,NA,0.02167607842105263,2012,1,2011,2011-12
4,298.09263259004496,2222.919345885764,Twin Harbors,2012-01-20,0.51599997,7.457142857142857,38,14,NA,NA,0.12747715255431993,2012,1,2011,2011-12
5,1672.1441628928392,20714.11238522354,Copalis,2012-01-21,0.49696672,12.387755102040817,49,26,NA,NA,0.029303693477737664,2012,1,2011,2011-12
6,1104.0844049099421,7917.093049842024,LongBeach,2012-01-20,0.66017497,7.170731707317073,45,22,NA,NA,0.040757753483231705,2012,1,2011,2011-12
7,4728.151485654273,69930.88568298335,Mocrocks,2007-10-26,0.20999999,14.790322580645162,68,22,NA,NA,0.014381941908231879,2007,10,2007,2007-08
8,3021.132785709679,45316.99178564519,Mocrocks,2007-10-27,0.54000002,15,102,40,NA,NA,0.03376217042907623,2007,10,2007,2007-08
9,3629.508137221178,54442.62205831767,Mocrocks,2007-11-23,0.61000001,15,45,16,NA,NA,0.01239837418699187,2007,11,2007,2007-08
10,2383.727242930682,35549.62455562969,Mocrocks,2007-11-24,0.80000001,14.913461538461538,110,31,NA,NA,0.04614621925651195,2007,11,2007,2007-08
11,1309.9141081122589,20893.130024390528,Mocrocks,2007-12-21,0.61000001,15.95,21,12,NA,NA,0.01603158548331347,2007,12,2007,2007-08
12,1723.1991769172514,23586.288734054877,Mocrocks,2007-12-22,0.61000001,13.6875,33,14,NA,NA,0.019150426974458026,2007,12,2007,2007-08
13,2288.8306451612902,33890.08064516129,Mocrocks,2008-04-20,0.62,14.806722689075631,120,32,0,0,0.05242851857724222,2008,4,2007,2007-08
14,2335.6260157881015,35034.39023682152,Mocrocks,2008-05-04,0.54000002,15,42,18,0.045,1576.5475606569685,0.017982330953711396,2008,5,2007,2007-08
15,1131.4814395747615,16972.221593621423,Mocrocks,2008-05-05,0.54000002,15,63,30,NA,NA,0.05567921646481178,2008,5,2007,2007-08
16,3706.5573162859455,55598.359744289184,Mocrocks,2008-05-24,0.61000001,15,90,34,0.076,4225.475340565978,0.02428129186200796,2008,5,2007,2007-08
17,3732.46580380214,55986.9870570321,Copalis,2007-10-26,0.40099999,15,64,22,NA,NA,0.017146841622716357,2007,10,2007,2007-08
18,5186.021756880485,76998.01747368387,Copalis,2007-10-27,0.51200002,14.847222222222221,74,31,0.01,769.9801747368386,0.014269126407312406,2007,10,2007,2007-08
21,1861.23062216974,27415.424029256978,Copalis,2007-12-21,0.52999997,14.72972972972973,115,36,0,0,0.061787077125315136,2007,12,2007,2007-08
22,2854.2903682123033,42298.51991447148,Copalis,2007-12-22,0.52999997,14.819277108433734,84,37,NA,NA,0.0294293814446814,2007,12,2007,2007-08
23,4823.37984496124,71291.9069767442,Copalis,2008-01-19,0.75,14.78048780487805,86,32,NA,NA,0.01782982115535441,2008,1,2007,2007-08
24,6996.930614681009,104396.68156063877,Copalis,2008-01-20,0.52999997,14.920353982300885,126,55,0.025,2609.9170390159693,0.01800789616744604,2008,1,2007,2007-08
25,3758.0047867595617,44972.84416941771,Copalis,2008-04-19,0.52999997,11.967213114754099,66,29,NA,NA,0.01756251089209235,2008,4,2007,2007-08
26,4639.622904129598,72245.55665001803,Copalis,2008-04-20,0.52999997,15.571428571428571,70,22,NA,NA,0.015087433062220415,2008,4,2007,2007-08
27,3218.011915146703,48270.178727200546,Copalis,2008-05-04,0.52999997,15,119,35,0.07,3378.9125109040388,0.036979353444865984,2008,5,2007,2007-08
28,1775.4717986116113,26632.07697917417,Copalis,2008-05-05,0.52999997,15,38,22,0.03,798.962309375225,0.021402761806588733,2008,5,2007,2007-08
29,6958.984103164684,102588.89468213743,Copalis,2008-05-24,0.51200002,14.741935483870968,31,19,0.025,2564.722367053436,0.004454673202357564,2008,5,2007,2007-08
30,4109.999863000005,59809.69949888067,Twin Harbors,2007-10-25,0.30000001,14.552238805970148,67,25,0.04,2392.387979955227,0.01630170370640714,2007,10,2007,2007-08
31,2368.033302294747,35723.47381747504,Twin Harbors,2007-10-26,0.62199998,15.085714285714285,36,16,0.045,1607.5563217863767,0.015202488902970298,2007,10,2007,2007-08
32,3988.7461089628973,59831.191634443465,Twin Harbors,2007-10-27,0.62199998,15,50,21,0.035,2094.0917072055213,0.012535267634018542,2007,10,2007,2007-08
33,4146.1697597381,53554.69272995046,Twin Harbors,2007-10-28,0.30500001,12.916666666666666,55,22,NA,NA,0.013265255208333335,2007,10,2007,2007-08
34,3125.5005009203205,46973.54150897724,Twin Harbors,2007-11-23,0.62099999,15.029126213592233,109,35,0.05,2348.677075448862,0.03487441450350252,2007,11,2007,2007-08
38,1007.0456158876025,14001.182595082473,Twin Harbors,2007-12-21,0.62199998,13.903225806451612,34,20,0.01,140.01182595082474,0.03376212503545101,2007,12,2007,2007-08
39,593.153035906188,2113.107690415795,Twin Harbors,2007-12-23,0.62199998,3.5625,34,15,NA,NA,0.057320788973214284,2007,12,2007,2007-08
40,1819.9357498371623,26136.2995184948,Twin Harbors,2008-01-18,0.62199998,14.36111111111111,36,16,NA,NA,0.019780918091872792,2008,1,2007,2007-08
41,3245.3871931487347,37135.74198061995,Twin Harbors,2008-01-19,0.62199998,11.442622950819672,65,22,0.01,371.35741980619946,0.020028426850645147,2008,1,2007,2007-08
42,2090.577210389697,25534.90735547416,Twin Harbors,2008-01-20,0.62199998,12.214285714285714,59,24,NA,NA,0.02822187083394161,2008,1,2007,2007-08
43,1613.1777877615655,22584.489028661916,Twin Harbors,2008-01-21,0.62199998,14,58,17,NA,NA,0.035953879628159525,2008,1,2007,2007-08
44,294.21222810971796,837.3732646199664,Twin Harbors,2008-02-06,0.62199998,2.8461538461538463,13,8,NA,NA,0.04418579092896175,2008,2,2007,2007-08
45,291.1977585594135,1076.165629458702,Twin Harbors,2008-02-07,0.62199998,3.6956521739130435,24,11,NA,NA,0.0824182168115942,2008,2,2007,2007-08
46,2050.6534805193473,31136.068901463485,Mocrocks,2006-10-06,0.61900002,15.18348623853211,110,49,NA,NA,0.053641437251573804,2006,10,2006,2006-07
47,5886.608918192688,72202.9375122072,Copalis,2006-10-06,0.50446701,12.265625,65,29,NA,NA,0.011042010927397629,2006,10,2006,2006-07
48,2554.2019936857732,36810.55814429496,Twin Harbors,2006-10-06,0.48429999,14.411764705882353,68,28,NA,NA,0.026622796540016168,2006,10,2006,2006-07
49,4575.902387794986,68638.53581692479,Mocrocks,2006-10-07,0.60723299,15,72,24,NA,NA,0.015734601374373946,2006,10,2006,2006-07
50,8351.685599350441,125275.28399025662,Copalis,2006-10-07,0.53033298,15,109,45,NA,NA,0.013051257581879945,2006,10,2006,2006-07
51,2142.358707534726,32167.35611611842,Mocrocks,2006-10-08,0.61949998,15.014925373134329,68,29,NA,NA,0.03174071632394818,2006,10,2006,2006-07
52,3833.440643272836,47254.52792957477,Copalis,2006-10-08,0.53033298,12.326923076923077,52,22,NA,NA,0.013564837658632561,2006,10,2006,2006-07
53,4612.54753618795,67811.3331812706,Copalis,2007-03-17,0.51160002,14.701492537313433,68,29,NA,NA,0.014742395491103979,2007,3,2006,2006-07
54,2457.2808777355285,33025.854996765505,Mocrocks,2006-11-03,0.53839999,13.44,50,28,NA,NA,0.020347694255479973,2006,11,2006,2006-07
55,2812.1595371253006,37639.67380460018,Mocrocks,2006-11-04,0.53839999,13.384615384615385,45,18,NA,NA,0.01600193708995641,2006,11,2006,2006-07
56,1075.4263874428068,15337.628716148602,Mocrocks,2006-11-05,0.59362501,14.261904761904763,45,21,NA,NA,0.04184386818609022,2006,11,2006,2006-07
57,3225.152310192669,48479.6704405152,Mocrocks,2006-12-02,0.441167,15.031746031746032,65,27,NA,NA,0.020154086923143463,2006,12,2006,2006-07
58,137.04224869569543,123.780095596112,Kalaloch,2011-01-21,0.56800002,0.9032258064516129,31,1,NA,NA,0.22620761330935257,2011,1,2010,2010-11
59,7004.815559225587,103244.89019902062,Copalis,2007-04-22,0.46724999,14.73913043478261,46,16,NA,NA,0.006566910950198595,2007,4,2006,2006-07
60,7877.758037077593,110145.38055477581,Copalis,2007-04-21,0.42673999,13.981818181818182,57,29,NA,NA,0.007235561149723412,2007,4,2006,2006-07
61,2455.7135862586965,36874.68337461472,Mocrocks,2006-12-03,0.49465001,15.015873015873016,64,23,NA,NA,0.026061671181086155,2006,12,2006,2006-07
62,5353.049637048747,78429.54376483348,Mocrocks,2006-12-31,0.46724999,14.65137614678899,113,34,NA,NA,0.02110946239278651,2006,12,2006,2006-07
63,6421.986547783136,93940.22182687424,Copalis,2005-10-15,0.441167,14.627906976744185,89,35,NA,NA,0.013858640054411623,2005,10,2005,2005-06
64,5499.323901182757,75824.01136479256,Copalis,2005-10-16,0.31600001,13.787878787878787,103,42,NA,NA,0.018729575098831233,2005,10,2005,2005-06
66,7714.937827041852,114410.88649889725,LongBeach,2005-10-15,0.53953332,14.829787234042554,103,39,NA,NA,0.013350723273358305,2005,10,2005,2005-06
67,3394.874434010778,50330.9872484156,LongBeach,2005-10-17,0.54435003,14.825581395348838,86,34,NA,NA,0.02533230659090909,2005,10,2005,2005-06
68,0,0,LongBeach,2003-09-28,0.45914999,14.984126984126984,64,27,NA,NA,NA,2003,9,2003,2003-04
69,4654.9821542277105,42502.01097338344,Copalis,2005-10-17,0.33186665,9.130434782608695,72,28,NA,NA,0.01546729882403711,2005,10,2005,2005-06
70,3206.0317665283137,37617.43939393221,Twin Harbors,2005-10-15,0.62185001,11.733333333333333,79,28,NA,NA,0.02464105341212698,2005,10,2005,2005-06
71,904.1267751920445,10591.199366535378,Twin Harbors,2005-10-16,0.6207,11.714285714285714,47,25,NA,NA,0.051983860327570526,2005,10,2005,2005-06
72,985.9971828651917,8777.308255309747,Twin Harbors,2005-10-17,0.60345,8.901960784313726,54,25,NA,NA,0.054766890756302526,2005,10,2005,2005-06
73,638.9006941725376,9311.637776769963,Twin Harbors,2005-10-18,0.60996699,14.574468085106384,48,26,NA,NA,0.07512904656046189,2005,10,2005,2005-06
74,3030.489107798837,45376.16280159509,Mocrocks,2005-10-15,0.51609999,14.973214285714286,113,42,NA,NA,0.03728771032675855,2005,10,2005,2005-06
75,745.74441643554,10689.00330224274,Mocrocks,2005-10-17,0.64767498,14.333333333333334,54,32,NA,NA,0.07241086732919254,2005,10,2005,2005-06
76,1251.764491680225,17974.555747720733,Mocrocks,2005-10-16,0.68145001,14.359375,67,29,NA,NA,0.053524445249335105,2005,10,2005,2005-06
77,986.4757533187616,14797.136299781423,Mocrocks,2005-10-18,0.56564999,15,60,23,NA,NA,0.060822579569892475,2005,10,2005,2005-06
78,1773.376262809526,23866.68887031154,Twin Harbors,2007-11-25,0.62199998,13.458333333333334,50,21,NA,NA,0.028194806172033654,2007,11,2007,2007-08
79,4755.627162560359,49794.21381974964,Twin Harbors,2007-11-24,0.62199998,10.470588235294118,68,22,NA,NA,0.01429885011494253,2007,11,2007,2007-08
80,3136.487362406649,47047.31043609974,Twin Harbors,2007-11-23,0.62099999,15,116,38,0.05,2352.365521804987,0.036984048266973525,2007,11,2007,2007-08
81,5583.796098527859,78531.08102673155,Copalis,2007-11-24,0.52999997,14.064102564102564,85,21,NA,NA,0.015222618895845757,2007,11,2007,2007-08
82,5112.697892661636,76690.46838992453,Copalis,2007-11-23,0.52999997,15,74,22,NA,NA,0.01447376738340315,2007,11,2007,2007-08
85,12808.594699203266,192287.05128680458,LongBeach,2007-11-23,0.57099998,15.012345679012345,82,28,NA,NA,0.006401951340149802,2007,11,2007,2007-08
86,9853.749876828126,135678.55599632574,LongBeach,2007-11-24,0.80000001,13.76923076923077,52,20,NA,NA,0.0052771788050234684,2007,11,2007,2007-08
87,142.01500992545584,1145.5877467320104,Twin Harbors,2007-11-26,0.62199998,8.066666666666666,15,10,NA,NA,0.10562263811320755,2007,11,2007,2007-08
89,1287.735806132077,19177.357851320776,Mocrocks,2008-10-16,0.30000001,14.892307692307693,65,26,NA,NA,0.05047619215873016,2008,10,2008,2008-09
90,698.5100972954799,10186.605585559082,Twin Harbors,2008-10-17,0.6207,14.583333333333334,36,15,NA,NA,0.05153826714801444,2008,10,2008,2008-09
91,1001.7564520074177,15026.346780111266,Mocrocks,2008-10-17,0.60723329,15,83,26,NA,NA,0.08285447009966991,2008,10,2008,2008-09
96,978.543415762782,14365.850146304672,Mocrocks,2008-11-13,0.54499996,14.680851063829786,49,23,NA,NA,0.05007442614266034,2008,11,2008,2008-09
97,1197.523468860156,17157.245335669148,Mocrocks,2008-11-14,0.54499996,14.327272727272728,57,22,NA,NA,0.04759823208663673,2008,11,2008,2008-09
100,975.3258627547706,12931.475663076184,Twin Harbors,2008-11-14,0.62068999,13.258620689655173,64,25,NA,NA,0.0656190945447037,2008,11,2008,2008-09
102,972.4787782339697,13513.40302254287,Twin Harbors,2008-11-15,0.62068999,13.895833333333334,51,17,NA,NA,0.05244330379385395,2008,11,2008,2008-09
103,2270.1142861037115,32933.598299892656,Mocrocks,2008-11-15,0.54499996,14.507462686567164,70,23,NA,NA,0.03083545195433478,2008,11,2008,2008-09
104,337.1829713204988,5057.744569807482,Mocrocks,2008-11-16,0.54499996,15,22,10,NA,NA,0.06524647408450703,2008,11,2008,2008-09
