beach,season,effort,harvest,wastage,dig_days,n_events,CPUE
Copalis,2005-06,16576.29254356003,212266.24349591063,0.0,8,8,12.80541127867444
Copalis,2006-07,37566.85624546594,525934.3527193097,0.0,6,6,13.999956485120748
Copalis,2007-08,56500.90828466795,828318.6343234234,10122.49435515845,13,13,14.660271126087284
Copalis,2008-09,91798.68522625242,1262043.3284781687,25105.810926380316,24,24,13.747945576428059
Copalis,2009-10,100737.88528181834,1292142.1191649106,10248.983993217478,23,23,12.826774311869764
Copalis,2010-11,71996.47482879691,950167.2004188895,11885.56980512854,15,15,13.197412827201989
Copalis,2011-12,35205.09007738839,463917.3373858603,3252.2739658724377,13,13,13.177564277383462
Copalis,2012-13,95700.16727934881,1364512.4013279162,29175.157895468903,28,28,14.258202886363868
Copalis,2013-14,75197.9806001292,1027048.3988369579,20570.852625103107,24,24,13.65792526129609
Copalis,2014-15,58626.35746299946,780625.4730055069,13396.474236599257,21,21,13.31526478509566
Copalis,2015-16,69536.10079653669,952020.2602853716,9275.600515468132,18,18,13.691021633079373
Copalis,2016-17,82107.97143894977,1040193.1737027629,18486.528821358293,31,31,12.668601543471135
Copalis,2017-18,44600.55374766059,547903.3502970674,0.0,13,13,12.284675957096303
Copalis,2018-19,62038.82770768305,808914.6861116702,13557.192713803608,20,20,13.038845445680337
Copalis,2019-20,51380.34507192129,697548.2134382195,4408.902034080397,30,30,13.576168327826602
Copalis,2020-21,15177.17640081373,227657.64601220595,2449.5260662129076,6,6,15.0
Copalis,2021-22,95903.82648427348,1605332.5257003852,5932.912734420417,57,57,16.73898304739312
Copalis,2022-23,80170.81496609267,1168069.5688300622,6773.277827683114,38,38,14.569760446168395
Copalis,2023-24,86087.50640307664,1054632.593796774,12798.08256141506,45,45,12.250704403712211
Copalis,2024-25,66576.32787454699,790464.0482266786,7075.004533473555,51,51,11.873049677900356
Copalis,2025-26,72865.36582900927,861865.4950686325,9857.89725810382,51,51,11.828191422124245
Kalaloch,2010-11,1362.509062261302,633.1580786182162,0.0,10,10,0.46470008615384106
Kalaloch,2011-12,2212.6648925715594,1389.9031465136018,0.0,3,3,0.6281579968027857
Kalaloch,2016-17,636.7272727272727,1891.1575757575756,0.0,2,2,2.9701218351418235
Long Beach,1993-94,299004.3519537975,4084351.5792348967,62446.03396646905,36,36,13.659839907166353
Long Beach,2003-04,123199.90582564392,1491704.7790920194,3269.529231690559,15,15,12.108002592170187
Long Beach,2005-06,11109.812314912662,164741.87454599421,0.0,2,2,14.828502037326208
Long Beach,2007-08,108525.55552108155,1167108.5969596568,3489.4732511445936,18,18,10.754228267764463
Long Beach,2008-09,119707.28691964578,1162653.591579556,38769.32967135983,18,18,9.712471324824145
Long Beach,2009-10,107728.31782510765,1470938.5069691697,12909.913032196038,28,28,13.65414903588466
Long Beach,2010-11,103197.70455388595,1408003.19155143,9814.175062690489,33,33,13.643745252262114
Long Beach,2011-12,105518.16568123086,1379586.5668998524,4413.228644738883,21,21,13.074398687592495
Long Beach,2012-13,159339.42929025253,2254649.860508619,55538.70652548592,39,39,14.149980770933672
Long Beach,2013-14,182524.6781909404,2323236.1347582797,43499.862188907864,68,68,12.728339848532292
Long Beach,2014-15,112205.00022482977,1607277.948587354,30473.571351646846,64,64,14.324477031921797
Long Beach,2015-16,148164.28121066405,2077002.4970692885,4289.855652577758,59,59,14.01824029447522
Long Beach,2016-17,64340.159487252735,1293947.8491717502,8572.837133576979,9,9,20.111045099726727
Long Beach,2017-18,94213.34419013321,843102.1119843835,0.0,16,16,8.94886089897104
Long Beach,2018-19,43895.80356481407,614561.897776254,14589.659254434648,4,4,14.000470383662677
Long Beach,2019-20,36749.95918147428,523622.6541786329,13664.590933766563,29,32,14.24825131350328
Long Beach,2020-21,15478.080644921349,232171.20967382024,7953.443758305433,5,6,15.0
Long Beach,2021-22,79089.62521306072,1352683.100155753,7158.043704933569,60,74,17.1031674067457
Long Beach,2022-23,40451.72133471751,594385.442876724,2488.579689417474,24,29,14.693699631679092
Long Beach,2023-24,45457.285518864504,573560.0540109338,7305.3957831961925,39,49,12.617560583834463
Long Beach,2024-25,32626.242953786616,425987.7690684689,777.4101036366015,49,61,13.056598936992485
Long Beach,2025-26,31406.030233032816,437270.53655393416,6895.553367408582,40,47,13.923139387862324
Mocrocks,2003-04,10534.24055152584,157026.89547150373,0.0,5,5,14.906332801443295
Mocrocks,2005-06,6014.473782941291,88836.85835439259,0.0,4,4,14.77051219449297
Mocrocks,2006-07,26147.69693574885,381729.01636060537,0.0,9,9,14.598953678352817
Mocrocks,2007-08,26258.128161802844,391214.59221495956,5802.022867145659,10,10,14.89879970896217
Mocrocks,2008-09,51606.18649559285,753542.8552176695,13069.704818595927,23,23,14.601793048242808
Mocrocks,2009-10,44880.923672080164,582470.1099646089,10590.758463472193,21,21,12.978122157654164
Mocrocks,2010-11,48301.21614997138,666301.5867559526,15151.006960701154,20,20,13.794716569602304
Mocrocks,2011-12,54291.16576686105,715326.7019064113,8517.211434865365,20,20,13.175747689378992
Mocrocks,2012-13,51783.3131216835,753851.8902142132,10876.596753184605,29,29,14.55781495561644
Mocrocks,2013-14,73458.27347489669,993493.924489391,15716.104074614324,53,53,13.5246021651857
Mocrocks,2014-15,57425.47209397001,802586.5680188807,4064.9116398543542,40,40,13.976142271944102
Mocrocks,2015-16,71417.17095009836,974572.3029685268,9919.2969051413,26,26,13.646190264936344
Mocrocks,2016-17,57957.62001845611,686628.0866929337,6423.370862835796,33,33,11.847071816860023
Mocrocks,2017-18,63215.266089019206,771322.3837406142,9072.951443927686,20,20,12.201520794904896
Mocrocks,2018-19,79371.7584024584,1090580.2546998793,26453.435511380256,33,33,13.740154894515987
Mocrocks,2019-20,34959.93247029501,454843.2096166203,2069.0544642695127,31,31,13.010414422370367
Mocrocks,2020-21,43182.092821549646,647731.3923232447,11030.594030258086,12,12,15.0
Mocrocks,2021-22,74862.57906003372,1232441.3294216753,3558.5160479164842,51,51,16.462715349859337
Mocrocks,2022-23,58525.108370931775,902391.5497961655,5203.345317382487,27,27,15.418878749900188
Mocrocks,2023-24,60278.382162280795,767090.0299766604,4404.833804399252,53,53,12.725789950890007
Mocrocks,2024-25,51712.397484672976,608375.9866885709,4589.517894823845,56,56,11.764606096031176
Mocrocks,2025-26,38562.771953033174,411194.61052491836,2968.7076899133535,52,52,10.662994118413618
Twin Harbors,2005-06,5735.056393054673,66297.58448241634,0.0,4,4,11.560057990485449
Twin Harbors,2006-07,2554.202006583095,36810.55833016813,0.0,1,1,14.411764705882351
Twin Harbors,2007-08,66208.76402701362,767957.9468066292,12867.312204891552,33,33,11.599037651470086
Twin Harbors,2008-09,30002.352960588116,407267.68013949104,10633.619277480757,15,15,13.574524660598742
Twin Harbors,2009-10,62025.95224009227,856538.9723963223,11273.46821195922,36,36,13.809364329963055
Twin Harbors,2010-11,64518.97543624335,768005.488585381,22384.792352341225,39,39,11.9035598967983
Twin Harbors,2011-12,49062.19925107851,664452.6517470954,17523.41417567566,22,22,13.543067002494574
Twin Harbors,2012-13,93763.06841839032,1317374.567120878,41263.58440994447,68,68,14.050036857182175
Twin Harbors,2013-14,102031.2425423543,1451150.8349336486,39643.63275428522,91,91,14.222612591738846
Twin Harbors,2014-15,95855.82536166279,1301702.4608761808,31216.413888417108,77,77,13.579795030347652
Twin Harbors,2016-17,58371.688934181744,769865.6622285475,6572.4795257020505,41,41,13.189024958599813
Twin Harbors,2017-18,54895.699688714965,611865.7179682165,3691.2479631787573,17,17,11.145968107479995
Twin Harbors,2018-19,68116.66878758746,762835.9935136153,904.856075777398,45,45,11.198962120305902
Twin Harbors,2019-20,22106.946555267943,275398.61984064867,2437.928618297234,26,26,12.457560303597104
Twin Harbors,2020-21,15440.90782472269,231726.59290674553,4702.767097814487,6,6,15.00731663819172
Twin Harbors,2021-22,87986.86941735353,1509730.8299971279,2187.4852695105537,65,65,17.15859241264658
Twin Harbors,2022-23,56353.08223825942,889865.6224498614,3513.5027133685962,26,26,15.790895317624896
Twin Harbors,2023-24,58456.82931870301,711378.9744351275,6853.496791797727,41,41,12.169304813929156
Twin Harbors,2024-25,57205.3770091908,743996.5212521248,7098.727005202244,56,56,13.005709605455303
Twin Harbors,2025-26,53636.7804265814,693203.8655992341,6613.782448324144,52,52,12.924039438722446
